channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg  (no smear, wrong boost, all vars)
BP18 ( 13315, 1074253) 0.1027 62.6798 7732.289 7485.837 0.5807 0.006968
HP2 ( 613, 1074253) 0.1431 5.17165 276.3044 2578.113 0.4507 0.0024
HP3 ( 673, 1074253) 0.1155 3.60711 272.6726 5441.653 0.4052 0.005066
HP5 ( 177, 1074253) 0.1554 1.63214 71.82103 1864.539 0.4058 0.001736
HP6 ( 15, 1074253) 0.1194 0.1031 7.132672 4779.066 0.4755 0.004449
HP11 ( 8311, 1074253) 0.1356 59.124 5534.018 3226.974 0.6659 0.003004
HP12 ( 4317, 1074253) 0.1411 36.3007 2685.848 2788.505 0.6222 0.002596
HP13 ( 6391, 1074253) 0.1431 52.175 4339.608 2578.311 0.679 0.0024
HP14 ( 2533, 1074253) 0.1395 21.8443 1408.713 2750.112 0.5561 0.00256
HP15 ( 5457, 1074253) 0.1516 44.6572 3240.046 2023.987 0.5937 0.001884
HP16 ( 4808, 1074253) 0.1615 43.0578 2854.631 1540.751 0.5937 0.001434
HP17 ( 1577, 1074253) 0.1646 15.0146 681.4662 1378.5 0.4321 0.001283
HP18 ( 3698, 1074253) 0.1590 35.5632 2219.898 1676.499 0.6003 0.001561
HP19 ( 2767, 1074253) 0.1587 27.3993 1565.074 1697.72 0.5656 0.00158
HP20 ( 1484, 1074253) 0.1654 17.1644 796.4719 1356.717 0.5367 0.001263
BP21 ( 9407, 1074253) 0.0727 21.442 5560.993 61701.79 0.5912 0.05744
BP23 ( 14584, 1074253) 0.1040 36.2578 7227.969 32512.27 0.4956 0.03027
HP1 ( 8869, 1074253) 0.1247 26.7281 3997.298 18369.12 0.4507 0.0171
HP4 ( 239, 1074253) 0.0343 0.524824 181.6299 119588.4 0.76 0.1113
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (smear, 1%, 5%)
BP18 ( 13315, 1077609) 0.1058 61.0202 7727.528 8309.877 0.5804 0.007711
HP2 ( 613, 1077609) 0.1527 5.02169 246.4377 2161.881 0.402 0.002006
HP3 ( 673, 1077609) 0.1044 3.43999 319.2317 8292.661 0.4743 0.007695
