channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim, PCA, no pruning)
BP18 ( 13678, 1375557) 0.1227 68.4716 7855.447 5306.531 0.5743 0.003858
HP2 ( 1040, 1375557) 0.1729 10.4929 433.0462 1270.195 0.4164 0.0009234
HP3 ( 696, 1375557) 0.1786 6.54003 245.8436 1167.21 0.3532 0.0008485
HP5 ( 173, 1375557) 0.1687 2.02111 81.44726 1542.501 0.4708 0.001121
HP6 ( 25, 1375557) 0.2789 0.317579 0.1008565 0 0.004034 0
HP11 ( 8198, 1375557) 0.1509 55.1259 4341.988 1861.931 0.5296 0.001354
HP12 ( 4321, 1375557) 0.1656 34.3265 1947.745 1271.88 0.4508 0.0009246
HP13 ( 6152, 1375557) 0.1467 46.9897 3433.875 1906.409 0.5582 0.001386
HP14 ( 2566, 1375557) 0.1773 21.9513 932.2862 871.4758 0.3633 0.0006335
HP15 ( 5364, 1375557) 0.1584 41.7014 2813.809 1739.085 0.5246 0.001264
HP16 ( 4595, 1375557) 0.1529 38.5821 2504.121 1708.376 0.545 0.001242
HP17 ( 1992, 1375557) 0.1646 18.9258 921.1948 1447.976 0.4624 0.001053
HP18 ( 3535, 1375557) 0.1513 32.0055 1959.708 1789.459 0.5544 0.001301
HP19 ( 2637, 1375557) 0.1595 24.4927 1337.624 1644.966 0.5073 0.001196
HP20 ( 1421, 1375557) 0.1770 16.1 615.2778 845.1945 0.433 0.0006144
BP21 ( 9639, 1375557) 0.1089 22.7476 4440.3 33662.17 0.4607 0.02447
BP23 ( 14924, 1375557) 0.1090 37.2505 7109.787 29319.31 0.4764 0.02131
HP1 ( 9148, 1375557) 0.1105 29.0788 4826.18 22719.52 0.5276 0.01652
HP4 ( 255, 1375557) 0.1383 1.74886 131.1081 5489.085 0.5141 0.00399
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (overlay, cuts for fast sim, PCA, no pruning, missing P4 like in full sim.)
BP18 ( 13678, 1381599) 0.1287 67.2811 7736.901 5486.657 0.5656 0.003971
HP2 ( 1040, 1381599) 0.1561 10.9999 553.7779 1980.739 0.5325 0.001434
HP3 ( 696, 1381599) 0.1457 6.66475 407.2085 3325.854 0.5851 0.002407
HP5 ( 173, 1381599) 0.2116 2.4092 34.32784 168.6959 0.1984 0.0001221
HP6 ( 25, 1381599) 0.1703 0.313097 11.29666 1290.502 0.4519 0.0009341
HP11 ( 8198, 1381599) 0.1472 55.5515 4671.463 2400.075 0.5698 0.001737
HP12 ( 4321, 1381599) 0.1474 34.3807 2353.553 2332.62 0.5447 0.001688
HP13 ( 6152, 1381599) 0.1502 48.1133 3244.233 1302.44 0.5273 0.0009427
HP14 ( 2566, 1381599) 0.1555 21.7635 1284.431 2198.647 0.5006 0.001591
HP15 ( 5364, 1381599) 0.1535 42.1755 3021.749 2111.552 0.5633 0.001528
HP16 ( 4595, 1381599) 0.1416 39.0497 2644.851 1942.543 0.5756 0.001406
HP17 ( 1992, 1381599) 0.1598 19.4443 1014.053 1705.741 0.5091 0.001235
