channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (smear, trained on single samples, no pruning, PCA)
BP18 ( 9500, 721656) 0.1135 48.3208 4814.309 5112.278 0.5068 0.007084
HP2 ( 1125, 721656) 0.1557 23.4458 761.1794 292.8306 0.6766 0.0004058
HP3 ( 3449, 721656) 0.1133 20.94 1529.976 3808.49 0.4436 0.005277
HP5 ( 2707, 721656) 0.1416 36.9529 1849.922 656.243 0.6834 0.0009094
HP6 ( 1507, 721656) 0.1502 27.6244 1050.595 395.7922 0.6971 0.0005484
HP7 ( 1443, 721656) 0.1611 25.9059 914.0955 330.9476 0.6335 0.0004586
HP8 ( 918, 721656) 0.1658 18.4568 574.6818 394.8049 0.626 0.0005471
HP9 ( 1226, 721656) 0.1581 15.9204 475.1448 415.5789 0.3876 0.0005759
HP10 ( 368, 721656) 0.1769 10.2055 218.3388 239.3752 0.5933 0.0003317
HP11 ( 6963, 721656) 0.1200 48.9595 4088.577 2885.224 0.5872 0.003998
HP12 ( 4073, 721656) 0.1479 30.6483 1777.603 1586.4 0.4364 0.002198
HP13 ( 6416, 721656) 0.1263 55.189 4181.245 1558.684 0.6517 0.00216
HP14 ( 2733, 721656) 0.1354 21.3188 1296.9 2403.832 0.4745 0.003331
HP15 ( 6182, 721656) 0.1304 45.7655 3434.817 2198.066 0.5556 0.003046
HP16 ( 5696, 721656) 0.1158 51.3877 4047.885 2157.065 0.7107 0.002989
HP17 ( 2198, 721656) 0.1429 33.1434 1506.135 558.9336 0.6852 0.0007745
HP18 ( 5271, 721656) 0.1281 48.5194 3445.789 1597.873 0.6537 0.002214
HP19 ( 4690, 721656) 0.1226 49.1115 3314.154 1239.693 0.7066 0.001718
HP20 ( 3235, 721656) 0.1588 32.3152 1661.564 982.1817 0.5136 0.001361
BP21 ( 8025, 721656) 0.0766 19.6174 4060.027 38772.74 0.5059 0.05373
BP23 ( 10265, 721656) 0.0650 26.4892 4955.204 30038.17 0.4827 0.04162
HP1 ( 8008, 721656) 0.0617 23.528 4504.5 32149.7 0.5625 0.04455
HP4 ( 3371, 721656) 0.0780 12.0495 1856.631 21885.08 0.5508 0.03033

channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (smear, trained on single samples)
BP18 ( 9500, 721656) 0.1131 47.4413 4712.495 5154.583 0.4961 0.007143
HP2 ( 1125, 721656) 0.1544 22.4605 745.7563 356.688 0.6629 0.0004943
HP3 ( 3449, 721656) 0.1124 21.3433 1494.107 3406.391 0.4332 0.00472
HP5 ( 2707, 721656) 0.1239 36.8668 2052.224 1046.468 0.7581 0.00145
HP6 ( 1507, 721656) 0.1561 27.8253 992.3047 279.4668 0.6585 0.0003873
HP7 ( 1443, 721656) 0.1482 26.0025 984.1523 448.3453 0.682 0.0006213
HP8 ( 918, 721656) 0.1728 19.3057 517.6238 201.2583 0.5639 0.0002789
HP9 ( 1226, 721656) 0.1236 16.5654 724.1343 1186.751 0.5906 0.001644
HP10 ( 368, 721656) 0.1760 10.5019 213.6657 200.271 0.5806 0.0002775
HP11 ( 6963, 721656) 0.1273 48.6612 3780.267 2254.773 0.5429 0.003124
HP12 ( 4073, 721656) 0.1293 30.5606 2059.717 2482.75 0.5057 0.00344
HP13 ( 6416, 721656) 0.1238 55.4899 4173.174 1482.762 0.6504 0.002055
HP14 ( 2733, 721656) 0.1344 20.8076 1278.43 2496.5 0.4678 0.003459
HP15 ( 6182, 721656) 0.1301 46.0922 3374.393 1985.247 0.5458 0.002751
HP16 ( 5696, 721656) 0.1245 53.0898 3676.168 1118.617 0.6454 0.00155
HP17 ( 2198, 721656) 0.1451 33.1095 1426.18 429.2443 0.6489 0.0005948
HP18 ( 5271, 721656) 0.1273 48.0352 3324.856 1466.157 0.6308 0.002032
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow, trained on single sample, all vars, PCA, no pruning, split signal for training)
HP3 ( 3449, 721656) 0.1220 20.5643 939.5076 1147.743 0.2724 0.00159
HP17 ( 2198, 721656) 0.1465 32.0682 1393.54 494.8395 0.634 0.0006857
HP20 ( 3235, 721656) 0.1338 32.5912 1915.535 1538.92 0.5921 0.002132
BP21 ( 8025, 721656) 0.0877 19.6591 3165.697 22764.77 0.3945 0.03155
BP23 ( 10265, 721656) 0.0203 23.9874 6887.279 75550.92 0.6709 0.1047
channel (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg (with smear, smeared EFlow, trained on single sample, all vars, PCA, no pruning, split signal for training, no Mlv)
HP3 ( 3449, 721656) 0.0984 19.5877 1403.053 3727.722 0.4068 0.005166
HP17 ( 2198, 721656) 0.1342 31.9021 1512.88 736.0255 0.6883 0.00102
HP20 ( 3235, 721656) 0.1484 32.5558 1612.693 841.1458 0.4985 0.001166
BP21 ( 8025, 721656) 0.0662 19.3898 4131.96 41279.3 0.5149 0.0572
